goal,num_rows,target,indicator,seriescode,seriesdescription,geoareacode,geoareaname,timeperiod,value,time_detail,source,footnote,nature,age,bounds,cities,education_level,freq,hazard_type,ihr_capacity,level_status,location,migratory_status,mode_of_transportation,name_of_international_institution,name_of_non_communicable_disease,sex,tariff_regime_status,type_of_mobile_technology,type_of_occupation,type_of_product,type_of_skill,type_of_speed,units
1,62742,0,0,0,0,0,0,0,0,9353,0,10606,0,54372,62742,62742,62742,62742,30332,62742,62742,62010,62742,62742,62742,62742,53389,62742,62742,62742,62742,62742,62742,0
2,38659,0,0,0,0,0,0,0,0,0,0,5212,0,34958,34958,38659,38659,38659,38659,38659,38659,38659,38659,38659,38659,38659,38659,38659,38659,38659,38492,38659,38659,0
3,134617,0,0,0,0,0,0,0,0,2668,0,114972,0,85929,111544,134617,134617,131757,134617,119661,134617,134617,134617,134617,134617,121957,65508,134617,134617,130470,134617,134617,134617,0
4,41533,0,0,0,0,0,0,0,0,36695,0,39627,0,41397,41533,41533,10857,41533,41533,41533,41533,41533,41533,41533,41533,41533,18790,41533,41533,41533,41533,39903,41533,0
5,21703,0,0,0,0,0,0,0,0,2076,0,4740,0,15136,21703,21703,21703,21703,21703,21703,21703,16063,21703,21703,21703,21703,442,21703,21703,21703,21703,21703,21703,0
6,36062,0,0,0,0,0,0,0,0,0,0,31874,0,36062,36062,36062,36062,18186,36062,36062,35051,17499,36062,36062,36062,36062,36062,36062,36062,36062,36062,36062,36062,0
7,19670,0,0,0,0,0,0,0,0,1080,0,19670,0,19670,19670,19670,19670,19670,19670,19670,19670,8534,19670,19670,19670,19670,19670,19670,19670,19670,19670,19670,19670,0
8,270140,0,0,0,0,0,0,0,0,10413,0,238315,0,244885,270140,270140,270140,270140,270140,270140,270140,270140,266993,270140,270140,270140,241422,270140,270140,266067,45679,270140,270140,0
9,34880,0,0,0,0,0,0,0,0,1,0,14860,0,34880,34880,34880,34880,34880,34880,34880,34880,34880,34880,33684,34880,34880,34880,34880,29402,34880,34880,34880,34880,0
10,19241,0,0,0,0,0,0,0,0,750,0,14429,0,19241,19241,19241,19241,19241,19241,19241,19241,19241,19241,19241,5091,19241,19241,19241,19241,19241,19157,19241,19241,0
11,10557,0,0,0,0,0,0,0,0,0,0,732,0,10557,10557,10336,10557,10557,10557,10557,10557,10123,10557,10557,10557,10557,10557,10557,10557,10557,10557,10557,10557,0
12,225302,0,0,0,0,0,0,0,0,0,0,225302,0,225302,225302,225302,225302,225302,225302,225302,225302,225302,225302,225302,225302,225302,225302,225302,225302,225302,841,225302,225302,0
13,2740,0,0,0,0,0,0,0,0,0,0,0,0,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,0
14,12614,0,0,0,0,0,0,0,0,0,21,11787,0,12614,929,12614,12614,12589,12614,12614,12614,12614,12614,12614,12614,12614,12614,12614,12614,12614,12614,12614,12614,0
15,66540,0,0,0,0,0,0,0,0,0,0,56337,0,66540,18375,66540,66540,66540,66540,66540,66540,66540,66540,66540,66540,66540,66540,66540,66540,66540,66540,66540,66540,0
16,18719,0,0,0,0,0,0,0,0,0,0,14984,0,18073,18719,18719,18719,18719,18719,18719,18719,18719,18719,18719,4569,18719,18341,18719,18719,18719,18719,18719,18719,0
17,35062,0,0,0,0,0,0,0,0,3060,0,17624,0,35062,35062,35062,35062,34569,35062,35062,35062,35062,35062,35062,35062,35062,35062,34278,35062,35062,34170,35062,24346,0